Name	Note	Gender	Adjective	Clan	Wing	Blood Potency	Humanity	Current Age	Sexual Orientation	Striking Looks	Vice	Virtue	Area of Influence	Bloodline	Gender	Title	Siring Year	Secrets	Flaws	Arrival	Sire	Status	Location	Derangements	Apparent Age	Childer	Status (Clan)	Status (Covenant)	Status (City)	Favors	Player	
Placeholder		Female	Capricious	Daeva	Peregrine Collegia	5	4	75	Bisexual	Normal	Greed	Prudence	Trade		Female									No derangement	49							
Placeholder		Male	Philanthropic	Mekhet	Peregrine Collegia	2	4	100	Bisexual	Normal	Gluttony	Fortitude	Peregrine Collegia		Male									No derangement	20							
Placeholder		Male	Foamy	Daeva	Cult of Augurs	3	5	75	Straight	Normal	Lust	Prudence	Tax Collectors		Male									Fixation	53							
Placeholder		Male	Grumpy	Nosferatu	Cult of Augurs	3	3	150	Straight	Normal	Gluttony	Hope	Mercenary Work		Male									No derangement	18							
Placeholder		Female	Pleasing	Julii	Legio Mortuum	1	6	50	Straight	Striking Looks 2	Lust	Hope	Camarilla		Female									No derangement	49							
Placeholder		Male	Gigantic	Gangrel	Cult of Augurs	2	4	75	Straight	Normal	Lust	Prudence	Curios		Male									No derangement	47							
Placeholder		Male	Vengeful	Ventrue	Senex	1	5	75	Straight	Normal	Gluttony	Hope	Tax Collectors		Male									Narcissism	28							
Placeholder		Male	Mild	Mekhet	Legio Mortuum	1	7	75	Straight	Normal	Gluttony	Hope	Patricians		Male									Anxiety	28							
Placeholder		Male	Fabulous	Gangrel	Cult of Augurs	3	3	50	Straight	Normal	Wrath	Temperance	Merchants		Male									No derangement	17							
Placeholder		Male	Waiting	Daeva	Peregrine Collegia	3	3	150	Straight	Striking Looks 2	Pride	Prudence	Neonates		Male									Vocalization	52							
Placeholder		Male	Wandering	Daeva	Peregrine Collegia	3	4	50	Straight	Striking Looks 2	Sloth	Faith	Auspex		Male									Vocalization	24							
Placeholder		Female	Sublime	Mekhet	Senex	3	2	75	Bisexual	Normal	Greed	Justice	Cult Of Augurs		Female									No derangement	23							
Placeholder		Female	Tiresome	Daeva	Peregrine Collegia	8	3	50	Gay	Striking Looks 2	Pride	Temperance	Nosferatu		Female									No derangement	34							
